date,obspcp,calibpcp,gcmpcp
1961/5/10,5.2,1.043746407,0.906670705
1961/5/11,0,1.743211322,1.157110071
1961/5/12,0,1.685338263,1.623021149
1961/5/13,1,1.051973679,1.346602091
1961/5/14,1.1,1.789378134,0.967923215
1961/5/15,0.2,1.610729217,1.504411768
1961/5/16,0,1.18356945,1.065576581
1961/5/17,0,0.994548693,1.507384422
1961/5/18,0,0.985706233,0.738316332
1961/5/19,0.6,1.705704403,1.192121797
1961/5/20,0,1.636920668,1.479324757
1961/5/21,0,0.946129392,1.251922975
1961/5/22,0,1.249114944,1.836633014
1961/5/23,0,1.279606911,1.76312429
1961/5/24,1.7,1.389288857,0.98186842
1961/5/25,7,1.007803291,1.492876795
1961/5/26,2.9,1.370306234,1.069460059
1961/5/27,2.1,1.72281369,1.40703568
1961/5/28,2,2.384613703,0.686032917
1961/5/29,14,1.750999027,0.719232039
1961/5/30,1.5,1.268041203,0.864235664
1961/5/31,0.6,1.560275283,1.108563132
1961/6/1,0.2,4.336591853,4.234015638
1961/6/2,0,3.218825644,5.496831713
1961/6/3,0,5.026930225,4.581793498
1961/6/4,0,3.342426752,5.067015665
1961/6/5,0,6.275798393,3.651643552
1961/6/6,0,4.187171573,6.157963015
1961/6/7,5.7,5.739896768,5.009602433
1961/6/8,0,5.033290513,2.804539748
1961/6/9,0,5.626997209,4.077683363
1961/6/10,0,5.8806294,3.087910161
1961/6/11,0,3.440312045,5.956317658
1961/6/12,0,4.290421655,4.918612307
1961/6/13,0,4.575908203,4.354233471
1961/6/14,1.5,4.781124629,5.375672012
1961/6/15,2.3,3.847982627,3.723766485
1961/6/16,13.7,4.706305447,3.824697538
1961/6/17,0.3,4.534423104,4.369187908
1961/6/18,3.3,3.328429779,2.814058702
1961/6/19,0.5,4.033501045,7.15459312
1961/6/20,3.3,4.057557002,5.531815974
1961/6/21,0.9,5.288601477,4.505434365
1961/6/22,3.5,4.880618486,2.584271615
1961/6/23,0.3,5.836552023,5.177316918
1961/6/24,1.2,4.376992127,5.032569682
1961/6/25,1.7,3.354085342,5.203098848
1961/6/26,1.6,3.742822246,4.548351292
1961/6/27,4.3,3.401544672,5.092861714
1961/6/28,2,6.704838739,4.150254021
1961/6/29,8.3,3.179854086,6.665018911
1961/6/30,16.8,3.946906772,4.799643461
1961/7/1,12.1,2.785953725,4.117409561
1961/7/2,0,3.873052341,4.576751114
1961/7/3,7.5,4.724531179,5.55984039
1961/7/4,0.8,3.189555699,4.36735877
1961/7/5,0,4.141274221,3.764016235
1961/7/6,3.6,3.348763417,2.655246623
1961/7/7,0,4.517987231,4.36909961
1961/7/8,0,4.124959146,3.779982935
1961/7/9,2.1,4.411274952,5.268868604
1961/7/10,8.2,4.420428057,6.651327645
1961/7/11,1,4.076407989,4.71777667
1961/7/12,4.5,2.489022501,4.113289938
1961/7/13,7.7,5.370051654,3.358295249
1961/7/14,0,3.34156098,2.844646522
1961/7/15,0,4.708190615,3.721931936
1961/7/16,0,5.893671933,5.698926827
1961/7/17,0,5.08551966,5.201192601
1961/7/18,0,3.96567956,4.4900985
1961/7/19,0,3.042944258,4.617363408
1961/7/20,0,6.553431515,4.671372503
1961/7/21,0,3.627945526,2.860783037
1961/7/22,0,3.904185676,5.740860892
1961/7/23,28,2.601584138,4.032466167
1961/7/24,15.9,3.249900617,5.325026669
1961/7/25,0,3.831607022,4.592337226
1961/7/26,0,2.980364136,5.650508135
1961/7/27,1.6,5.606301015,3.4716475
1961/7/28,0,3.454264479,3.927260001
1961/7/29,1.4,2.707664067,3.780920381
1961/7/30,0,5.387842197,5.978339487
1961/7/31,0.7,3.247905794,3.555221435
1961/8/1,17.9,2.718951142,2.525797641
1961/8/2,0,3.50315394,2.906591938
1961/8/3,9.2,4.801274966,4.747897344
1961/8/4,0.1,2.837510339,3.336209584
1961/8/5,0,2.549130538,3.642216212
1961/8/6,11.9,3.406061617,5.5201483
1961/8/7,4.4,3.459864976,5.568136758
1961/8/8,4,2.570719912,4.474789569
1961/8/9,7.1,2.144642196,3.62686776
1961/8/10,2.1,3.667475417,4.352844488
1961/8/11,0,6.525911224,3.423851302
1961/8/12,13.5,3.11336488,4.517079278
1961/8/13,2.1,4.125414273,2.753447771
1961/8/14,4.1,4.061888346,2.840222908
1961/8/15,27.2,2.565561174,4.285926947
1961/8/16,1,3.893387977,2.68613635
1961/8/17,4.6,2.85652825,5.569495695
1961/8/18,0,4.237686597,4.297250626
1961/8/19,4.6,2.741584092,4.691159863
1961/8/20,2.5,2.992547958,2.947331488
1961/8/21,12,4.026806826,2.804191296
1961/8/22,7.8,3.409622686,3.722522931
1961/8/23,0.2,3.46505533,2.234498363
1961/8/24,7,3.049839545,4.20687934
1961/8/25,0,4.758879598,5.590012604
1961/8/26,3.3,3.922627472,3.853300384
1961/8/27,2.5,4.142778223,3.38964189
1961/8/28,5,5.181439248,4.446118669
1961/8/29,2.9,3.437045675,3.471618826
1961/8/30,0,4.993078092,5.81031237
1961/8/31,0,4.609688682,2.795435832
1961/9/1,0.4,4.27177595,2.729708482
1961/9/2,0,3.2040162,3.083384287
1961/9/3,0,3.021423394,2.541301618
1961/9/4,0,3.530131354,2.905083597
1961/9/5,0.7,3.784884539,3.562796222
1961/9/6,10.5,3.596196501,2.809790646
1961/9/7,3.8,3.412244061,3.270955223
1961/9/8,0,2.400280426,2.525244453
1961/9/9,0,3.007704578,3.542648565
1961/9/10,0.9,3.403197138,2.996183486
1961/9/11,1.8,3.387566546,3.151269405
1961/9/12,0,4.458291519,4.153150481
1961/9/13,0,3.788066192,2.265245275
1961/9/14,9.4,4.925644189,2.747488466
1961/9/15,2.6,4.50978118,3.69741813
1961/9/16,1,4.497707533,3.418753942
1961/9/17,4,3.169960105,2.62997391
1961/9/18,1.1,1.787417242,2.080063323
1961/9/19,0,2.740992466,2.547916068
1961/9/20,0,3.963435816,2.035184162
1961/9/21,0,2.955605802,3.013135958
1961/9/22,0,2.378955648,2.745720241
1961/9/23,0,2.30158775,5.177103051
1961/9/24,0,3.016723789,3.73353577
1961/9/25,0,3.751816987,2.791246234
1961/9/26,0,3.928625073,3.006591296
1961/9/27,19.1,1.910954815,2.946472391
1961/9/28,0,3.081079891,4.062268345
1961/9/29,0,2.590870445,3.099421943
1961/9/30,2.3,4.614308517,3.107643197
1961/10/1,10.8,1.325153887,0.353558603
1961/10/2,7.6,1.099020604,0.300806479
1961/10/3,9.3,1.395815205,0.379789153
1961/10/4,0.4,0.892588007,0.352553339
1961/10/5,1.5,0.820755917,0.436004173
1961/10/6,1.3,0.459921511,0.481592473
1961/10/7,0,0.42999959,0.207458676
1961/10/8,3.5,0.951841709,0.556410446
1961/10/9,1.3,1.205433008,0.453656115
1961/10/10,0,0.861974199,0.380060996
1961/10/11,1.1,0.771433669,0.823431014
1961/10/12,1.3,0.539515283,0.407012171
1961/10/13,1.4,1.235924101,0.357949653
1961/10/14,0.8,0.545456093,0.787484596
1961/10/15,2.4,0.564109901,0.336395411
1961/10/16,0.8,0.789034814,0.532094953
1961/10/17,4.6,0.96400375,0.484802079
1961/10/18,0,0.706715601,0.646469382
1961/10/19,0.3,0.655318247,0.42432698
1961/10/20,0,0.986382501,0.847599045
1961/10/21,0,1.278616087,0.507385718
1961/10/22,0,0.678806132,0.70629601
1961/10/23,0.3,0.605159384,0.924968587
1961/10/24,0,0.640241313,0.491167278
1961/10/25,0,0.566930706,0.413110584
1961/10/26,0,0.68593905,0.746488776
1961/10/27,0,0.707978095,0.9143401
1961/10/28,0,0.572207846,1.357208805
1961/10/29,0,0.559380403,0.634469777
1961/10/30,0,0.966384207,0.65793306
1961/10/31,0,0.796642521,1.384955416
