date,obspcp,calibpcp,gcmpcp
1961/5/23,0,1.37917,0.98084
1961/5/24,1.7,0.87479,0.81149
1961/5/25,7,1.34548,1.32527
1961/5/26,2.9,1.86239,1.1448
1961/5/27,2.1,1.52957,0.8783
1961/5/28,2,1.40826,0.66537
1961/5/29,14,1.40813,0.89996
1961/5/30,1.5,2.15283,0.44394
1961/5/31,0.6,1.73676,0.5983
1961/6/1,0.2,3.13166,3.12366
1961/6/2,0,3.38037,3.10731
1961/6/3,0,3.1252,4.57067
1961/6/4,0,3.10992,4.7095
1961/6/5,0,3.49662,4.28181
1961/6/6,0,2.86889,4.36682
1961/6/7,5.7,3.98886,4.1228
1961/6/8,0,3.43063,3.04184
1961/6/9,0,3.76413,2.4765
1961/6/10,0,3.52307,4.26508
1961/6/11,0,2.87601,3.62566
1961/6/12,0,3.63996,3.1651
1961/6/13,0,4.02592,3.35223
1961/6/14,1.5,5.08498,5.32705
1961/6/15,2.3,3.605,3.59828
1961/6/16,13.7,3.18962,2.70734
1961/6/17,0.3,4.58682,3.14527
1961/6/18,3.3,4.78416,2.85861
1961/6/19,0.5,3.78031,2.89756
1961/6/20,3.3,4.13772,3.37026
1961/6/21,0.9,3.10198,3.13434
1961/6/22,3.5,4.3503,3.16231
1961/6/23,0.3,5.00568,3.15505
1961/6/24,1.2,4.00536,4.57413
1961/6/25,1.7,3.59353,4.32997
1961/6/26,1.6,4.69239,5.0079
1961/6/27,4.3,4.59439,4.21903
1961/6/28,2,5.46416,3.00716
1961/6/29,8.3,4.34381,2.84797
1961/6/30,16.8,3.86258,3.14784
1961/7/1,12.1,4.47141,5.84304
1961/7/2,0,3.45099,4.51161
1961/7/3,7.5,3.8173,6.08059
1961/7/4,0.8,3.06306,5.33566
1961/7/5,0,4.63523,4.63604
1961/7/6,3.6,4.80592,5.14071
1961/7/7,0,3.78517,4.13601
1961/7/8,0,3.76674,5.36052
1961/7/9,2.1,5.32639,5.53106
1961/7/10,8.2,3.51972,4.475
1961/7/11,1,3.92254,5.12089
1961/7/12,4.5,2.11423,4.41792
1961/7/13,7.7,3.13386,5.55862
1961/7/14,0,3.3357,5.2671
1961/7/15,0,3.06004,5.65013
1961/7/16,0,3.32344,4.98088
1961/7/17,0,3.47781,5.92518
1961/7/18,0,4.10204,6.36905
1961/7/19,0,3.89505,4.69284
1961/7/20,0,4.09734,5.74439
1961/7/21,0,4.28979,5.2634
1961/7/22,0,3.95686,6.02354
1961/7/23,28,2.92633,5.97434
1961/7/24,15.9,3.80197,6.18067
1961/7/25,0,3.49084,4.54445
1961/7/26,0,4.65643,5.71522
1961/7/27,1.6,3.20557,4.93763
1961/7/28,0,3.202,5.0891
1961/7/29,1.4,4.17137,4.99306
1961/7/30,0,3.42206,5.15881
1961/7/31,0.7,3.24919,4.55571
1961/8/1,17.9,3.12745,4.41213
1961/8/2,0,3.90385,4.01743
1961/8/3,9.2,3.01572,4.05961
1961/8/4,0.1,3.02842,3.30638
1961/8/5,0,2.70185,3.33019
1961/8/6,11.9,4.34171,4.4621
1961/8/7,4.4,3.16704,3.75334
1961/8/8,4,2.76055,4.43581
1961/8/9,7.1,3.76704,3.54164
1961/8/10,2.1,3.5551,4.63166
1961/8/11,0,2.50485,3.68488
1961/8/12,13.5,4.45216,4.06647
1961/8/13,2.1,3.98943,4.25133
1961/8/14,4.1,3.20523,3.72397
1961/8/15,27.2,4.13062,3.63788
1961/8/16,1,3.06834,4.23884
1961/8/17,4.6,3.19692,4.14067
1961/8/18,0,2.07677,3.11771
1961/8/19,4.6,2.50391,3.39458
1961/8/20,2.5,2.51579,3.25742
1961/8/21,12,2.92459,3.6346
1961/8/22,7.8,3.87502,3.40918
1961/8/23,0.2,3.11392,4.32299
1961/8/24,7,3.03408,3.32349
1961/8/25,0,3.82058,3.55721
1961/8/26,3.3,3.94232,4.50622
1961/8/27,2.5,3.88833,3.89298
1961/8/28,5,3.66814,4.13841
1961/8/29,2.9,3.5748,3.55127
1961/8/30,0,4.08132,3.5301
1961/8/31,0,3.4334,3.4942
1961/9/1,0.4,3.93799,2.22412
1961/9/2,0,2.6324,1.94392
1961/9/3,0,2.86439,2.46149
1961/9/4,0,2.635,1.85668
1961/9/5,0.7,3.15791,2.21383
1961/9/6,10.5,2.38722,2.30257
1961/9/7,3.8,2.83954,1.94027
1961/9/8,0,2.82979,2.37304
1961/9/9,0,2.9725,2.46155
1961/9/10,0.9,2.98035,2.21948
1961/9/11,1.8,3.28731,2.53991
1961/9/12,0,3.11292,2.7231
1961/9/13,0,3.72933,2.17245
1961/9/14,9.4,3.88472,1.76153
1961/9/15,2.6,3.62411,2.4257
1961/9/16,1,1.83942,2.0751
1961/9/17,4,2.6178,1.93748
1961/9/18,1.1,2.79381,2.35314
1961/9/19,0,2.33887,2.36785
1961/9/20,0,3.4076,2.26266
1961/9/21,0,2.88247,2.24086
1961/9/22,0,3.00958,2.39188
1961/9/23,0,2.49198,2.51409
1961/9/24,0,2.59362,2.32617
1961/9/25,0,2.37222,2.29043
1961/9/26,0,1.92977,2.47178
1961/9/27,19.1,2.87732,2.45701
1961/9/28,0,2.77513,2.9289
1961/9/29,0,3.11641,2.15401
1961/9/30,2.3,2.85563,2.77834
1961/10/1,10.8,1.50275,0
1961/10/2,7.6,1.47712,0.06294
1961/10/3,9.3,1.28748,0.11997
1961/10/4,0.4,1.2751,0.17906
1961/10/5,1.5,1.262,0.41685
1961/10/6,1.3,1.13118,0.12582
1961/10/7,0,0.87217,0.36106
1961/10/8,3.5,0.72496,0.28197
1961/10/9,1.3,1.25638,0.41131
1961/10/10,0,1.1357,0.30027
1961/10/11,1.1,0.82792,0.2901
1961/10/12,1.3,1.4506,0.14715
1961/10/13,1.4,1.2568,0.16358
1961/10/14,0.8,0.8139,0.58632
1961/10/15,2.4,0.93762,0.24685
1961/10/16,0.8,0.80655,0.33196
1961/10/17,4.6,1.41706,0.169
1961/10/18,0,1.49614,0.24251
1961/10/19,0.3,0.85778,0.38423
1961/10/20,0,1.05618,0.56905
1961/10/21,0,1.68181,0.3445
1961/10/22,0,0.8626,0.21812
1961/10/23,0.3,1.05967,0.36423
1961/10/24,0,0.67188,0.23096
1961/10/25,0,0.42751,0.22542
1961/10/26,0,0.73707,0.09273
1961/10/27,0,0.85184,0.53268
1961/10/28,0,0.84867,0.84601
1961/10/29,0,0.60797,0.28616
1961/10/30,0,0.99002,0.33335
1961/10/31,0,0.92807,0.76262
1961/11/1,0,0.17412,0.13521
1961/11/2,0,0.22848,0.0664
1961/11/3,0.2,0.4108,0.08236
1961/11/4,0,0.07712,0.16063
1961/11/5,0,0.08072,0.08551
1961/11/6,0,0.06371,0.08713
1961/11/7,0,0.08898,0.06088
1961/11/8,1,0.26278,0.08238
1961/11/9,0,0.19734,0.06919
1961/11/10,0.3,0.12576,0.15623
1961/11/11,0,0.10715,0.15953
1961/11/12,0,0.1377,0.14966
1961/11/13,0,0.04813,0.18567
1961/11/14,0,0.23471,0.09772
1961/11/15,0,0.04757,0.13831
1961/11/16,0,0.1362,0.11098
1961/11/17,0.3,0.48659,0.07826
1961/11/18,0,0.18242,0.10283
1961/11/19,0,0.26928,0.07315
1961/11/20,0,0.01458,0.10341
1961/11/21,0.1,0.07337,0.11532
1961/11/22,0,0.09048,0.18908
1961/11/23,0.6,0.10776,0.09095
1961/11/24,2.2,0.02843,0.1177
1961/11/25,0,0.10799,0.08129
1961/11/26,0,0.09197,0.06499
1961/11/27,0,0.07257,0.25348
1961/11/28,0.1,0.03225,0.30929
1961/11/29,0,0.05999,0.30838
1961/11/30,0.2,0.21668,0.08659
1961/12/1,0,0.06178,0.10647
1961/12/2,0,0.08645,0.03758
1961/12/3,0,0.11577,0.05427
1961/12/4,0,0.09931,0.03256
1961/12/5,0,0.10873,0.10054
1961/12/6,0,0.16333,0.14121
1961/12/7,0,0.03387,0.02654
